token,meat_count,no_meat_count
preliaty,28,8
preliv,6,3
prelivom,0,1
prelozeny,2,0
prepared,1,0
prepeceny,0,1
prepelici,1,0
prepusteny,0,1
prerastany,2,0
presporsky,1,0
pressburg,1,0
pretlacany,10,0
pretlaceny,2,0
pretlak,0,3
prevonany,1,0
priat,0,1
pridat,3,0
prievoznicky,1,0
prilhy,1,0
priloha,159,49
prilohovy,5,0
prima,1,0
primavera,0,5
pripraveny,1,0
pripravit,1,0
prir,5,0
priroda,1,0
prirodna,1,0
prirodne,2,0
prirodno,47,0
prirodny,145,4
prisada,5,0
privarkom,1,0
privarok,158,53
profiterol,0,1
promo,1,0
prosciuta,1,0
prosciuto,3,0
prosciutt,30,1
prosciutto,56,0
prosciuttom,1,0
prosciuttto,1,0
prosciuty,7,0
proscuito,1,0
proscuitt,0,1
prosecco,0,1
prossec,0,1
prosuta,7,0
prosuto,0,1
prosuty,2,1
provencial,5,1
provencionale,1,0
provensalske,1,0
provensalsko,1,0
provensalsky,18,2
provenzal,3,0
provincial,6,0
provinciall,1,0
provolon,1,0
prs,1,0
prsa,1,0
prsia,711,0
prsiavit,1,0
prsicek,5,0
prsicko,1,0
prsie,10,0
prst,1,0
prudko,2,0
pruzok,1,0
pryvarok,1,0
psenicnej,2,1
psenicny,6,1
pseno,1,4
psenoto,0,1
psenovo,0,1
psenovy,1,1
pstrosi,0,1
pstruh,41,0
pt,3,0
pub,0,1
puc,2,0
puceny,33,5
puding,1,26
pudingovy,0,1
puff,1,0
pulitzer,2,0
pult,0,2
pumpkin,1,3
puncovy,0,1
pupok,1,0
purey,0,2
pusinka,1,0
putanesec,1,0
puttanesec,2,2
pyd,1,0
pyre,221,44
pyro,2,0
pyroh,1,0
pyta,0,1
qautro,0,1
quark,0,2
quatro,2,16
quatroformaggi,0,1
quatroformagi,1,0
quatrro,0,3
quattro,5,27
quattroformaggi,0,1
quesadilles,0,1
quicha,1,1
quinoa,3,5
quinoe,1,0
quinoit,0,1
r,41,11
ra,2,1
rabiaty,0,1
racional,1,0
rafaello,1,0
rag,6,2
raga,1,0
ragout,3,1
ragu,118,16
raisins,0,1
rajbanicka,0,1
rajcina,29,20
rajcinka,1,1
rajcinovo,4,0
rajcinovy,21,20
rajnoh,1,0
rajta,2,0
ramen,1,0
ran,0,1
ranajky,1,0
ranantiersky,0,1
ranatiersky,0,1
ranch,2,0
rarasik,1,0
rarasok,1,0
rasca,30,8
rascov,0,1
rascovy,9,36
ratatouile,1,1
ratatouille,16,8
ratatuille,2,1
rattatouile,1,0
rattatouille,0,1
raviol,0,6
raw,0,2
razanec,1,0
razen,0,1
razni,1,0
raznici,21,0
razniky,1,0
razny,0,1
rebarbor,1,0
rebarbora,0,1
rebierko,27,0
rebro,29,0
recky,0,1
red,5,0
redchard,1,0
redikcia,0,1
redk,1,0
redkovka,4,4
redkovkovy,1,0
redkvicka,1,2
reduction,0,1
redukcia,2,4
relis,2,0
relit,1,0
remoulad,1,0
remulada,2,0
repa,12,15
repkovy,1,0
repy,0,1
rest,6,1
restovana,1,0
restovane,2,1
restovany,144,30
restovanym,1,0
restovanymi,1,0
rez,3,1
reza,0,1
rezancami,4,2
rezance,1,0
rezancek,55,1
rezanec,388,71
rezen,979,13
reznik,8,2
rezniky,4,0
riasa,1,0
rib,1,0
ribat,2,0
ribezla,1,0
ribezlovy,2,3
ribs,1,0
rica,40,7
riccota,0,1
riccotou,0,1
richtarsky,0,3
richter,0,1
rick,0,1
ricota,0,1
ricotto,1,4
ricottty,1,0
ricotty,6,8
riedka,0,1
riesling,0,1
rigaton,1,1
rigatt,1,0
rikota,0,1
rilovany,9,4
rimske,1,0
rimsky,6,4
risi,0,1
risit,1,0
risoto,0,1
risotto,31,21
rissota,1,0
rissotto,5,4
rizoto,226,178
rizotto,2,5
riztoto,0,1
roast,7,0
roastbeef,3,1
roasted,3,0
rob,1,0
robeny,0,1
robert,1,0
robiola,2,1
robit,3,4
rocket,0,1
rockfortovy,1,1
roh,33,2
roha,1,0
rohlik,4,3
rohy,1,0
rokford,1,0
rokfortovy,3,0
rolada,66,8
roladka,6,0
rolka,43,3
roll,2,0
rolls,0,1
rolovany,1,0
roma,1,1
romadur,2,0
romagny,1,0
romanesco,1,1
root,2,2
rosina,1,0
rosini,1,0
rossini,3,0
rosso,0,3
rost,26,2
rosta,3,0
rostbeaf,1,0
rostbif,1,0
rostenec,1,0
rostenka,51,1
rotollo,1,0
rotolo,2,0
rotunda,0,2
rozbif,1,0
rozhadzana,1,0
rozkovy,1,0
rozmajrin,0,1
rozmarin,40,4
rozmarinov,1,0
rozmarinovy,8,0
rozok,1,8
rozovy,0,1
rozpusteny,0,3
roztlaceny,1,0
roztopeny,0,2
rozvoz,4,6
ruccola,1,0
ruccolla,0,1
rucne,0,1
rucola,6,7
rucolla,2,0
rucolovo,2,1
rucolovy,3,3
ruk,3,0
rukola,71,53
rukole,1,0
rukolles,1,0
rukoloa,0,1
rukolou,3,2
rukolov,1,0
rukolovo,2,1
rukolovy,19,9
rukut,0,1
rump,8,0
rumpsteak,2,0
rumsteak,1,0
rusky,12,1
rustican,4,0
ruza,1,0
ruzicit,1,0
ruzicka,0,1
ruzickovy,4,4
ruzit,1,0
ruzova,2,0
ruzovy,4,0
ryba,17,0
rybaci,33,0
rybacia,2,0
rybi,77,0
rybie,2,0
rybka,1,0
ryi,0,1
rynsky,1,0
ryt,3,0
ryz,5,0
ryza,2231,136
ryzag,1,0
ryzat,2,0
ryzou,2,0
ryzov,4,0
ryzove,1,0
ryzovy,36,67
rӧst,1,0
s,2,0
sacher,0,3
safran,1,2
safrane,1,0
safranovy,17,6
sagio,2,0
saivia,1,0
sal,1,0
sala,18,0
salad,20,4
salads,0,2
salama,64,0
salamov,2,0
salamovy,15,0
salasnicky,6,1
salat,1721,555
salate,2,1
salatik,38,28
salatikomfrancuzsko,1,0
salatovy,7,5
salatovych,1,0
salaty,2,0
salka,0,1
salmon,5,0
salmona,2,0
salnina,1,0
salotka,18,3
salotkovo,2,0
salotkovy,3,0
sals,2,0
salsa,15,9
salses,1,0
salsicat,0,1
saltado,1,0
saltimbocco,3,0
saltimboco,1,0
saltinbocco,1,0
salvia,7,3
salviovo,2,0
salviovy,0,1
salvy,1,0
sambuci,0,1
sambus,0,1
samoinon,1,0
samostatny,2,0
sampa,5,2
sampinit,6,0
sampinnovy,0,1
sampinomny,0,1
sampinon,243,156
sampinona,0,1
sampinonami,1,0
sampinonmi,6,0
sampinonov,1,1
sampinonova,0,3
sampinonovo,8,1
sampinonovou,1,0
sampinonovy,65,96
sampion,11,6
sampionoch,1,0
sampionov,0,3
sampionove,0,1
sampionovy,5,4
san,2,0
sandwi,2,0
sanghaj,1,0
sanghat,1,0
sapinon,1,0
sapmpinon,2,0
sardela,1,1
sardelovy,1,0
sardinka,2,0
sarma,1,2
saslik,1,0
sat,3,0
satocka,0,1
sauci,33,10
sauer,2,0
sauerkraut,5,0
saus,1,0
sausaga,10,1
savarma,1,0
scaloppina,2,0
schnitziet,5,0
schwarcvaldsky,1,0
schwartzvaldsky,1,0
schwarz,3,0
schwarzvaldsky,2,0
schwarzwaldsky,8,0
sduseny,1,0
secchi,0,1
secuansky,5,0
sedan,0,4
sedliacka,1,0
sedliacky,63,3
sedliak,1,0
seeds,0,2
sef,1,4
sefkuchar,1,0
sefkuchara,5,0
segedin,1,0
segedinsky,87,7
segedynsky,1,0
segmento,1,0
sekany,27,10
selena,0,1
semiacko,2,8
semienko,3,6
sendvic,4,1
sepiovy,1,0
seppit,1,0
serano,1,0
serbian,2,0
serbium,1,0
served,1,0
servirovany,6,0
sesat,2,1
severny,1,0
seza,0,1
sezam,50,17
sezamom,2,0
sezamov,0,1
sezamove,1,0
sezamovom,1,0
sezamovy,14,9
sezat,12,0
seznam,3,0
sezonny,4,3
sfilack,1,0
shallot,0,2
shark,1,0
sherry,0,2
shia,1,0
shitaka,4,2
shitake,1,0
sicil,1,0
sicilia,2,1
sicilian,1,0
siciliana,1,2
sicilsky,7,3
silny,20,0
silvansky,0,1
sindibada,0,1
sipka,1,0
sipkovo,3,0
sipkovy,17,1
sirloin,11,0
siroky,2,8
sirup,0,10
siska,0,17
sistawuk,1,0
sit,1,0
sk,1,0
skandinavsky,1,0
skladany,2,0
skladat,1,0
skleneny,2,0
skolkarsky,0,1
skorica,1,5
skoricovy,1,9
skutocny,1,0
skvarkovy,0,1
skvely,1,0
slad,0,1
sladka,0,1
sladko,12,9
sladkokyslit,2,0
sladkokysly,5,1
sladkokysnut,1,2
sladkopikantny,1,0
sladky,12,29
slahacka,1,75
slahackou,0,1
slahackovy,1,0
slahany,1,0
slahcka,0,1
slama,1,1
slan,1,0
slana,2,0
slanika,1,0
slanin,1,0
slanina,307,0
slanine,1,0
slaninka,426,0
slaninkou,3,0
slaninkouva,1,0
slaninkouvy,1,0
slaninkovo,1,0
slaninkovy,18,0
slaninnka,1,0
slaninou,1,0
slaninovo,2,0
slaninovy,29,0
slano,1,4
slany,1,4
slavka,1,0
sleh,1,0
slepaci,519,1
slepacia,3,0
slepit,4,3
slica,9,0
slimak,3,0
slivka,28,7
slivkach,1,0
slivkove,0,1
slivkovo,5,2
slivkovy,37,48
slivkovym,0,1
slivky,0,1
sliz,13,5
slizik,8,0
slnecnica,0,1
slnecnicovy,3,3
slniect,0,2
sloni,2,0
slov,3,0
slovak,1,0
slovakian,4,0
slovan,0,1
slovenska,1,0
slovensky,112,14
slovinsky,1,0
slyz,0,1
slza,0,1
smakoun,0,1
small,0,1
smazeny,5,0
smazienka,0,1
smazit,1,0
smo,1,0
smoked,6,1
smoothia,1,1
smot,5,1
smotama,1,0
smotan,4,1
smotana,331,113
smotane,4,0
smotanka,1,0
smotanoa,0,1
smotanonov,1,0
smotanou,1,1
smotanov,49,19
smotanovej,2,0
smotanovo,1,0
smotanovou,0,1
smotanovy,106,37
smotany,0,1
smotsnov,0,1
smpinona,0,1
sn,1,0
sneh,0,2
snicla,1,0
soba,1,0
soda,0,1
sodo,0,1
soj,3,0
soja,0,7
sojaneza,0,3
sojou,0,1
sojovka,0,1
sojovo,2,0
sojovy,28,20
sojovym,0,1
sol,1,0
sola,1,0
soljanka,1,0
somlo,0,1
sopronsky,1,0
sopsky,5,16
sorbet,0,2
sososvicovy,0,1
sosovica,12,27
sosovicka,0,1
sosovicova,3,6
sosovicovo,0,5
sosovicovy,130,143
sota,11,0
sote,274,2
soudrat,1,0
soup,18,31
sour,7,3
sous,32,0
sousvidovany,1,0
sovdra,1,1
soybean,1,0
sp,2,0
spageta,151,52
spagetovy,1,0
spagett,3,2
spagety,3,4
spaghet,3,0
spaghett,21,10
spaldoto,0,2
spaldovy,12,8
spaniel,2,0
spanielska,2,0
spanielsko,1,1
spanielsky,47,3
spanish,1,0
spara,1,0
spargl,1,0
spargla,35,6
sparglou,1,0
sparglov,0,1
sparglove,1,0
sparglovy,6,13
spargnut,1,0
spartan,1,0
spatzel,1,0
special,6,0
specialita,8,1
specialitks,1,0
specialny,8,0
speciat,1,2
speck,3,0
specla,7,1
speclo,2,0
specok,0,1
spek,0,1
spekacik,1,1
spekacka,1,1
spenat,156,93
spenatik,0,2
spenatom,1,2
spenatov,7,9
spenatova,2,1
spenatove,2,2
spenatovy,82,171
spenaty,1,0
speneny,0,1
spezial,0,1
sphagett,0,1
spica,3,0
spices,2,0
spicka,2,0
spik,2,0
spikovany,32,0
spikovy,1,0
spina,4,5
spinacchi,1,1
spinachi,1,2
spinaci,2,3
spiralka,1,1
spissky,4,1
spiz,64,11
spiza,1,0
spodny,1,0
sposob,168,22
sprouts,1,0
srbske,1,0
srbsky,35,4
srdce,3,0
srezenec,1,0
sriracha,0,1
srnca,1,0
srncat,5,0
srnec,1,0
staek,1,0
stagion,3,0
stagione,0,1
stagionny,1,0
stak,1,0
stangel,0,2
stangla,7,7
starocesky,4,6
staromestiansky,1,0
staropramen,1,0
staroslovansky,1,0
starter,1,0
stava,20,2
stavnaty,17,2
steacik,1,0
steak,679,0
steakove,1,0
steakovy,27,0
steaks,1,0
steamed,7,2
stefansky,13,1
stehenny,9,0
stehienko,16,0
stehna,1,0
stehno,498,0
stejk,1,0
ster,0,1
sterilizovany,10,4
stew,2,2
stewed,28,3
stick,0,1
sticks,0,4
stifado,1,0
stir,1,0
stogan,1,0
stonkovy,2,0
stopkovy,0,3
stouchany,1,0
strack,0,1
strakaty,0,1
strapacka,40,14
strapaty,2,0
strateny,2,6
streda,1,0
stredomorsky,5,2
stredoslovensky,1,0
stredozemsky,0,1
strelizovany,2,0
streusiet,1,3
striaska,1,0
strips,1,0
stripsa,4,0
strogan,89,1
stroganof,2,0
stroganoff,13,2
stroganov,3,0
stroganovsky,1,0
strudla,4,18
strudlicka,0,2
struh,1,0
struha,1,1
struhanie,0,2
struhanka,22,45
struhanke,1,1
struhankou,0,1
struhankovou,0,1
struhankovy,0,3
struhanou,1,0
struhany,56,45
struhanym,2,0
struk,13,7
strukovina,0,1
strukovinovy,1,2
strukovy,1,1
strust,0,5
stuchany,96,10
studeno,0,2
studentsky,2,0
stuffed,1,0
stuhanka,1,0
stuka,4,0
stupavsky,4,0
stvrt,10,0
stvrtka,2,0
stvrtok,1,0
styri,3,7
suchany,0,1
suchy,0,1
sud,1,0
suea,2,0
suey,1,0
sugar,0,1
sugo,0,1
sukennicky,1,0
suki,1,0
sulanc,1,18
sulanec,5,50
sum,1,0
sumcek,2,0
sumec,3,0
sunka,487,0
sunko,1,0
sunkoflek,2,0
sunkou,13,0
sunkova,2,0
sunkovo,17,0
sunkovy,35,0
sunshina,1,0
supa,0,1
supka,19,3
suprat,3,0
suprema,2,0
surimi,2,0
surschnitziet,2,0
susen,2,0
susene,2,0
suseny,109,66
susienka,0,1
susit,15,4
sutelica,0,1
svajciarsky,1,0
svarcvaldsky,1,0
svarvald,1,0
svedsky,2,0
sviecka,1,0
svieckova,3,0
svieckovej,1,0
svieckovica,30,0
svieckovy,119,1
sviezi,7,2
sw,1,0
swartzwalsky,1,0
sweet,22,5
swiss,1,0
sypany,2,3
syr,1037,704
syra,0,1
syroky,0,1
syrom,9,5
syrov,20,9
syrove,0,1
syrovej,1,0
syrovom,2,0
syrovy,145,97
syrovym,1,2
syrta,0,1
syt,0,1
sytat,1,0
szegedinsky,0,1
szeget,3,0
t,31,23
tabbouleh,1,0
tacos,0,2
tafelspitz,2,0
tagina,1,0
tagliatel,2,0
tagliatell,3,0
tagliatelle,45,25
tagliatello,1,0
tagliattel,2,0
tagliattelle,0,1
taglietelle,1,0
tagliolina,1,0
tagliolini,1,1
taglliatelle,1,0
tahini,1,3
tahona,1,0
tajomstvo,2,0
tajsky,1,0
taka,1,0
taliansko,8,16
taliansky,43,15
tamarindovy,0,1
tandoor,7,0
tanier,40,8
tankovy,2,0
tapenada,1,1
tapiokovy,0,1
tarhna,1,0
tarhona,195,4
tarhonoto,1,2
tarhonovy,1,0
tart,0,2
tartar,2,8
tas,1,0
taska,1,0
tasticka,2,8
tat,14,27
tatar,1,1
tatarit,0,2
tatarka,25,22
tatarska,3,4
tatarskou,1,0
tatarsky,207,358
tataska,0,1
tatiana,0,1
tatraky,0,1
tatransky,6,1
taveny,5,1
tavenyr,0,1
tavenyrit,0,1
tawuk,1,0
tazina,1,0
tbck,2,0
tbolognesa,1,0
teaw,1,0
tehla,0,1
tekovsky,1,0
tekvica,20,28
tekvicka,0,2
tekvicove,1,0
tekvicovo,3,7
tekvicovy,29,78
telaci,64,0
telacie,1,0
tempeh,0,7
tempeha,0,2
tempur,5,0
tenderloin,1,0
tenier,1,0
tenky,1,0
teplo,1,0
teply,7,5
terc,1,0
terchovske,1,0
tercik,1,0
teriak,1,0
terinka,0,1
teriyaki,7,2
teryaki,1,0
teryiak,1,0
texas,3,0
tha,3,3
thai,1,0
thaisky,1,0
thajsko,1,0
thajsky,27,9
thaow,1,0
that,1,0
thilapit,1,0
thit,2,0
threy,1,0
thymian,1,0
tiahnutie,1,0
tigri,1,0
tikka,4,1
tilapia,4,0
tilapit,16,0
timbal,1,0
tip,5,0
tiramisu,0,1
tirolsky,11,2
tisic,3,0
tiszat,1,0
tiszay,5,0
tlacenka,0,1
tlaceny,10,0
tmavy,5,0
toast,63,47
toasta,0,2
tofa,11,90
tofat,0,3
tofu,0,1
tokan,38,3
tomato,12,7
tomatoes,2,3
tonno,14,0
tono,1,0
topinambura,1,1
topinanburovy,0,1
toping,0,9
topped,0,1
topping,0,1
toricka,0,1
torinsky,1,0
torta,0,4
tortelina,2,2
tortellina,1,0
tortellini,5,3
tortellon,0,2
torticka,3,2
tortigilion,0,1
tortila,7,0
tortile,1,0
tortilla,1,1
tortille,9,3
tortilles,29,9
tortily,0,1
tortit,11,2
torttit,1,0
toscan,1,1
toscana,1,0
toskansky,7,4
toust,1,2
tradicny,15,1
transylvanit,1,0
transylvansky,1,0
trava,1,0
trebulka,4,2
trenciansky,1,0
treska,42,1
trevit,1,0
trey,1,0
trhanec,1,4
trhany,6,7
tri,4,1
tricolor,0,1
trio,2,3
trofia,1,0
troj,2,0
trojboj,1,0
trojfarebny,2,3
trojobal,17,4
trojuholnicek,1,0
trojuholnik,3,3
tropic,1,0
tropicky,0,1
trota,0,1
trubicka,0,1
truhany,1,0
tsatsik,2,0
tukozrutsky,0,1
tuna,5,0
tuniaci,1,0
tuniak,84,0
tuniakoivy,1,0
tuniakove,3,0
tuniakovo,2,0
tuniakovy,28,0
turecky,4,1
turkea,15,0
turmeric,1,0
tutt,1,0
tvaroh,2,84
tvarohova,0,1
tvarohove,0,1
tvarohovo,0,11
tvarohovy,3,67
tvrdo,1,0
twister,1,0
two,1,0
tyc,1,0
tycinka,20,10
tymian,17,7
tymiana,6,0
tymianom,0,1
tymianovy,9,1
tyrolsky,2,0
tysa,1,0
tyzden,7,2
tzatsik,1,0
tzatzika,38,7
tzatziki,12,1
tzatziky,2,0
tzazika,3,0
u,2,0
ucho,2,0
ud,8,0
udena,0,1
udenie,1,0
udenina,38,9
udeninou,1,0
udeny,241,67
udenym,4,2
udinesa,0,1
uhliarsky,0,1
uho,1,0
uhor,1,0
uhork,4,0
uhorka,429,138
uhorkovy,71,25
uhorky,0,1
uhorsky,1,0
ujhaza,1,0
ukrajinsky,1,0
ulasovy,2,0
upeceny,1,0
uraci,1,0
uru,1,0
uruquay,1,0
uskovy,0,2
ustricovy,3,10
utorok,1,0
uvo,1,0
vaereska,1,0
vafel,0,1
vaha,0,1
vajce,106,90
vajci,1,1
vajco,0,1
vajcom,3,0
vajcovy,0,4
vajicka,1,0
vajicko,96,71
vajickom,0,2
vajickovy,6,4
vajicky,1,1
vakuum,1,0
valassky,1,1
valentinsky,0,1
valerian,0,1
valeriana,3,2
valerianka,0,2
valerianomg,1,0
vanilk,0,1
vanilka,0,2
vanilkovo,1,0
vanilkovy,3,80
vanilles,0,2
var,30,16
varenaks,0,1
varene,7,13
varenie,0,1
vareny,620,413
varit,1,1
vasabit,1,0
vazecky,3,1
veal,2,0
ved,1,0
veg,2,33
vega,1,5
vegan,5,24
vegansky,0,3
vegetabla,29,22
vegetarian,0,3
vegetariana,0,8
vegetariansky,1,17
vegetarit,0,1
veggia,0,1
vegi,0,2
velky,3,8
velouta,1,1
velouty,5,0
venezia,0,1
venezuelsky,0,1
venice,0,1
venison,1,0
veporsky,1,0
vepro,2,0
verda,0,2
verdur,1,0
verdura,1,0
vereny,0,1
vergina,0,1
veron,1,0
vesalica,1,1
veternik,0,1
veza,1,0
viaczrnny,0,2
vianocny,2,0
vichysoiss,0,1
vid,32,0
vieden,3,0
viedenska,3,1
viedensky,79,6
vietnamec,5,0
vietnamsky,1,0
vihorlatsky,2,0
vina,0,1
vinaigarett,1,0
vinaigrett,1,1
vinarsky,3,0
vinc,0,1
vincenzo,0,1
vine,2,0
vinea,0,1
vinegrett,0,1
vinicky,0,1
vinko,1,0
vinny,1,0
vino,117,14
vinohradnicky,1,0
vinov,4,1
vinovy,22,0
viola,1,0
violet,1,0
vip,8,0
virginit,1,0
visna,1,9
visnovo,0,1
visnovy,2,7
vitello,1,0
vladat,0,1
vlas,1,0
vlassky,8,5
vlast,1,0
vlastn,0,1
vlastny,4,3
vlk,5,0
vlocka,2,6
vnat,24,14
vnat'y,3,2
vnatka,26,17
vnatko,4,0
vnatkoug,2,0
voda,0,1
vodny,1,0
voli,0,1
volitelny,0,1
volske,4,1
volsky,129,63
volskym,2,0
vona,1,1
vrabec,55,0
vrbovsky,0,1
vrcharsky,1,0
vretenka,2,0
vrkoc,1,0
vrut,0,1
vruta,2,1
vtaci,0,1
vtacik,46,3
vulcano,0,1
vyber,23,13
vyberovy,2,0
vyhonok,3,1
vyk,1,0
vykost,3,0
vykostene,5,0
vykosteny,103,0
vylet,1,0
vyp,33,9
vypeceny,6,0
vypecka,8,0
vypek,6,0
vypr,29,5
vypraz,4,6
vyprazan,3,0
vyprazana,2,0
vyprazane,7,0
vyprazanou,0,1
vyprazany,758,493
vyprazny,1,0
vyroba,1,1
vysmazany,1,2
vysoky,3,0
vyvar,626,45
vyvarit,9,1
vzprazany,1,0
waldorfsky,2,0
wasabit,5,0
way,7,1
wedges,2,0
wellington,3,0
wero,1,0
western,1,0
whipped,1,1
whisky,2,0
wiener,5,0
wienerschnitziet,2,0
wina,3,0
with,99,68
wok,25,2
worcester,2,0
worcestrovy,1,0
wrap,0,1
wrapit,12,1
x,8,3
xao,1,0
xbravcovy,1,0
xl,9,0
xlabuznicky,1,0
xmoravsky,1,0
xvyprazany,2,0
xxl,16,1
xxt,1,0
y,1,0
yeast,0,1
yogurt,1,0
yokai,0,1
your,0,1
z,1,1
zabaleny,3,0
zabijacka,1,0
zabijackovy,25,0
zadny,5,0
zahoracka,1,0
zahoracky,13,2
zahradnego,1,0
zahradnicky,8,1
zahradny,3,2
zajit,2,0
zaklad,80,9
zakvas,1,0
zalievka,8,6
zamatovy,1,0
zamocky,1,0
zan,0,1
zandarsky,1,0
zap,8,0
zapecene,1,0
zapeceny,119,37
zapecenym,1,0
zapek,3,1
zapekacka,3,0
zapekan,0,1
zapekane,3,1
zapekanec,0,1
zapekany,238,149
zapekny,0,1
zapiect,3,0
zapravany,0,1
zaprazeny,0,6
zarestovany,1,0
zasmazeny,0,1
zasnezeny,1,0
zaudeny,2,0
zavarany,3,0
zavareny,1,0
zavarka,1,3
zavin,1,5
zavinuty,1,0
zavitla,1,0
zavitok,30,0
zazika,4,0
zazvor,18,18
zazvore,2,0
zazvorom,1,1
zazvorov,0,1
zazvorove,1,0
zazvorovej,1,0
zazvorovo,3,0
zazvorovy,7,6
zbojnicke,2,0
zbojnicky,14,1
zbojnik,1,0
zdobeny,16,9
zdravo,0,1
zdravy,0,2
zelanie,1,2
zelaninovy,0,1
zeleina,1,0
zeleleninka,1,0
zelen,3,1
zelena,0,1
zelenin,1,3
zelenina,725,271
zeleninan,0,1
zeleninka,26,26
zeleninou,5,7
zeleninov,0,4
zeleninova,3,5
zeleninovapolievka,0,1
zeleninove,0,1
zeleninovo,18,5
zeleninovy,318,512
zeleniny,0,1
zeleny,99,17
zelenych,2,0
zelenymi,1,0
zeler,13,12
zelerovo,5,7
zelerovy,22,39
zely,0,1
zem,45,4
zemaika,1,0
zemepan,1,0
zemiacik,29,22
zemiak,1870,889
zemiakmi,4,4
zemiakov,1,1
zemiakova,10,9
zemiakove,3,1
zemiakovej,1,0
zemiakovo,49,14
zemiakovom,1,0
zemiakovou,1,0
zemiakovov,0,1
zemiakovy,1113,290
zemiakovym,1,0
zemiaky,14,17
zemiakyg,2,0
zemiakyks,0,1
zemiansky,0,1
zemie,6,0
zemikovy,0,1
zeml,1,0
zemla,17,3
zemlov,1,0
zemlova,1,0
zemlovka,0,57
zemlovou,1,0
zemlovy,84,2
zemlovymi,1,0
zemplinsky,3,1
zerucha,0,7
zeruchovy,1,1
zidovsky,1,0
ziet,22,1
zimny,1,4
zivanka,1,0
zivanska,2,0
zivansky,27,0
zjemneny,2,2
zlatista,2,0
zlatozlty,1,0
zlaty,5,1
zlaz,1,0
zlaza,1,0
zlt,1,0
zltka,1,0
zltkovo,1,0
zlty,4,2
zmas,0,1
zmes,29,10
zmesny,1,0
zmiak,2,0
zmrzlina,0,3
znojemsky,34,0
znojmo,1,0
zobracky,1,0
zorek,0,1
zpekany,1,0
zralok,3,0
zrejuci,1,2
zrnko,0,1
zrolovany,0,1
zubac,17,2
zubaci,1,0
zucca,0,1
zucchini,2,7
zuchcini,1,0
zupan,9,1
zuppat,0,1
zverinovy,0,1
zvolensky,0,1
zvysenie,1,0